1285319000: 0000067c, 00b50863
1285403000: 00000680, 00052023
1285569000: 00000684, 00450513
1285653000: 00000688, ff5ff06f
1285736000: 0000068c, 471000ef
1285820000: 00000690, 010000ef
1285903000: 0000067c, 00b50863
1285986000: 00000680, 00052023
1286153000: 00000684, 00450513
1286237000: 00000688, ff5ff06f
1286320000: 0000068c, 471000ef
1286403000: 00000690, 010000ef
1286487000: 0000067c, 00b50863
1286570000: 00000680, 00052023
1286737000: 00000684, 00450513
1286820000: 00000688, ff5ff06f
1286904000: 0000068c, 471000ef
1286987000: 00000690, 010000ef
1287071000: 0000067c, 00b50863
1287154000: 00000680, 00052023
1287321000: 00000684, 00450513
1287404000: 00000688, ff5ff06f
1287488000: 0000068c, 471000ef
1287571000: 00000690, 010000ef
1287654000: 0000067c, 00b50863
1287738000: 00000680, 00052023
1287905000: 00000684, 00450513
1287988000: 0000068c, 471000ef
1288071000: 00000690, 010000ef
1288155000: 00000694, 0000006f
1288238000: 000012fc, ff010113
1288322000: 00001300, 00112623
1288405000: 00001304, 00812423
1288822000: 00001308, 01010413
1288905000: 0000130c, ec9ff0ef
1288989000: 00001310, 00000613
1289072000: 00001314, 27000593
1289156000: 000011d4, fe010113
1289239000: 000011d8, 00112e23
1289322000: 000011dc, 00812c23
1289739000: 000011e0, 02010413
1289823000: 000011e4, fe042623
1289906000: 000011e8, ffff0537
1290323000: 000011ec, e90ff0ef
1290407000: 000011f0, 00800793
1290490000: 000011f4, 00100713
1290573000: 0000087c, fd010113
1290657000: 00000880, 02812623
1290740000: 00000884, 03010413
1291157000: 00000888, fca42e23
1291241000: 0000088c, fdc42703
1291658000: 00000890, 82e1a423
1291741000: 00000894, fe042623
1292241000: 00000898, 0400006f
1292325000: 0000089c, 000217b7
1292408000: 000008a0, 91078713
1292492000: 000008d8, fec42703
1292575000: 000008dc, 01000793
1292658000: 000008e0, fae7fee3
1292742000: 000008e4, 8281a783
1293159000: 000008e8, fff00713
1293242000: 000008ec, 00e7a023
1293326000: 000008f0, 8281a783
1293743000: 000008f4, 0007a223
1293826000: 000008f8, 000017b7
